Car Name,Car Webpage,Car Health,Price,Exterior,Interior,Miles,Fuel Type,Fuel Efficiency (mileage),EPA Range,Transmission,Drivetrain,Engine,Location,Listing Status,VIN,Stock Number,Accidents,Owners,Car Title Status,Use Type,Vehicle Last Inspected
2005 Mercedes-Benz S 500 Sedan RWD,https://www.truecar.com/used-cars-for-sale/listing/WDBNG75J55A434815/2005-mercedes-benz-s-class/,Used,"$6,885",Brilliant Silver Metallic,Black,"103,493 miles",Gas,16 city / 24 highway,,Automatic Transmission,RWD,5.0L V-8 Gas V,"Daly City, CA",Listed 5 days ago,WDBNG75J55A434815,MER815,0,1,Clean Title,Fleet,1/24/2025
2006 BMW 750Li,https://www.truecar.com/used-cars-for-sale/listing/WBAHN83586DT33684/2006-bmw-7-series/,Used,"$8,885",Michigan Blue Metallic,Tan,"71,441 miles",Gas,17 city / 25 highway,,Automatic Transmission,RWD,4.8L V-8 Gas V,"Daly City, CA",Listed 5 days ago,WBAHN83586DT33684,BM3684,0,3,Clean Title,Personal,2/13/2025
2019 Jaguar I-PACE First Edition,https://www.truecar.com/used-cars-for-sale/listing/SADHD2S18K1F62631/2019-jaguar-i-pace/,Used,"$22,999",Ultimate Black Metallic,Tan,"48,043 miles",Electric,,234 mi,Automatic Transmission,AWD,L - Electric,"San Francisco, CA",Listed 16 days ago,SADHD2S18K1F62631,K1F62631,0,2,Clean Title,Personal,1/21/2025
2022 Volkswagen Taos SE 4MOTION,https://www.truecar.com/used-cars-for-sale/listing/3VVLX7B20NM056753/2022-volkswagen-taos/,Used,"$17,282",Deep Black Pearl,Black,"51,041 miles",Gas,25 city / 32 highway,,Automatic Transmission,AWD,1.5L Inline-4 Gas Inline,"San Francisco, CA",Listed 5 days ago,3VVLX7B20NM056753,M056753A,0,1,Clean Title,Personal,2/13/2025
2019 Audi e-tron Prestige,https://www.truecar.com/used-cars-for-sale/listing/WA1VABGE9KB019891/2019-audi-e-tron/,Used,"$26,499",Florett Silver Metallic,Black,"24,653 miles",Electric,,204 mi,Automatic Transmission,AWD,L - Electric,"San Francisco, CA",Listed 121 days ago,WA1VABGE9KB019891,KB019891,0,2,Clean Title,Fleet,1/3/2025
2021 Tesla Model Y Performance AWD,https://www.truecar.com/used-cars-for-sale/listing/5YJYGDEFXMF079011/2021-tesla-model-y/,Used,"$29,499",Pearl White Multi-Coat,Black,"47,187 miles",Electric,,303 mi,Automatic Transmission,AWD,L - Electric,"San Francisco, CA",Listed 34 days ago,5YJYGDEFXMF079011,MF079011,0,1,Clean Title,Personal,1/15/2025
2022 Dodge Charger SXT RWD,https://www.truecar.com/used-cars-for-sale/listing/2C3CDXBG0NH165638/2022-dodge-charger/,Used,"$18,998",Torred Clearcoat,Black,"45,955 miles",Gas,19 city / 30 highway,,Automatic Transmission,RWD,3.6L V-6 Gas V,"Colma, CA",Listed 5 days ago,2C3CDXBG0NH165638,26757980,0,1,Clean Title,Rental,12/28/2024
2023 Volvo XC40 Recharge Plus,https://www.truecar.com/used-cars-for-sale/listing/YV4ED3UL2P2036400/2023-volvo-xc40-recharge/,Used,"$29,399",Black Stone,Black,"24,569 miles",Electric,,223 mi,Automatic Transmission,AWD,L - Electric,"San Francisco, CA",Listed 24 days ago,YV4ED3UL2P2036400,P2036400,0,1,Clean Title,Personal,1/25/2025
2016 BMW 328i Sedan RWD (SULEV),https://www.truecar.com/used-cars-for-sale/listing/WBA8E9G52GNT87347/2016-bmw-3-series/,Used,"$10,998",Jet Black,Venetian Beige,"83,248 miles",Gas,23 city / 35 highway,,Automatic Transmission,RWD,2.0L Inline-4 Gas Inline,"San Francisco, CA",Listed 6 days ago,WBA8E9G52GNT87347,GNT87347T,0,3,Theft Recovery,Fleet,1/28/2025
2023 Volvo XC40 Recharge Ultimate,https://www.truecar.com/used-cars-for-sale/listing/YV4ED3UMXP2036766/2023-volvo-xc40-recharge/,Used,"$30,999",Black Stone,Black,"33,669 miles",Electric,,223 mi,Automatic Transmission,AWD,L - Electric,"San Francisco, CA",Listed 31 days ago,YV4ED3UMXP2036766,P2036766,0,1,Clean Title,Personal,1/18/2025
